Gene,P.Value,Log FC
HAGHL,7.87e-05,-7.44e-01
ABCC9,9.39e-05,1.01
RPS6KA3,7.60e-05,6.39e-01
FAM108A1,7.93e-05,-7.78e-01
AATK-AS1,8.67e-05,-8.33e-01
RPS7P5,8.01e-05,7.79e-01
CPEB1,9.51e-05,-8.12e-01
RNF126,7.86e-05,-7.23e-01
TOP1P2,7.13e-05,5.00e-01
ASCL2,1.09e-04,1.65
DNAJC3,1.01e-04,1.22
UTP11L,8.30e-05,-8.00e-01
HINT3,9.59e-05,-1.15
CDR2L,9.77e-05,-1.18
PIAS1,9.46e-05,8.61e-01
ARHGAP42,8.41e-05,7.37e-01
TBL1X,9.13e-05,9.00e-01
ZCCHC9,6.97e-05,4.48e-01
CASC2,9.72e-05,1.02
LARP7,1.04e-04,1.04
RFX3,7.08e-05,4.23e-01
SCLY,8.23e-05,-7.07e-01
PLCG2,9.13e-05,8.64e-01
ARHGAP24,1.13e-04,1.40
TUBB4A,9.15e-05,-9.30e-01
PLRG1,1.02e-04,9.41e-01
TGFBR3,8.67e-05,7.89e-01
IL33,1.06e-04,1.40
RTN4,9.80e-05,-9.98e-01
ITGB5,9.46e-05,9.91e-01
ACTR3,8.82e-05,8.02e-01
RPL10,8.36e-05,6.89e-01
TRAF3IP2,8.14e-05,5.98e-01
TOP1,8.50e-05,6.98e-01
LDB3,1.18e-04,-2.10
SULF1,1.05e-04,1.20
DNAJC13,9.48e-05,7.26e-01
IL18BP,1.09e-04,9.48e-01
CD33,1.16e-04,1.43
MAGI1,1.04e-04,-1.14
ITGA6,9.40e-05,8.61e-01
SLC47A1,9.71e-05,7.22e-01
SUMO2,7.74e-05,4.64e-01
CMTM3,1.22e-04,1.72
MDFIC,9.15e-05,7.86e-01
PHF21A,9.01e-05,-7.07e-01
RPL4,8.09e-05,5.49e-01
ARFRP1,9.72e-05,-7.81e-01
ITGB3,1.15e-04,1.15
PTPRC,1.23e-04,1.43
C16orf86,9.05e-05,-6.15e-01
SHISA4,1.00e-04,-8.27e-01
PRDM5,9.88e-05,6.81e-01
CARD14,8.97e-05,-5.90e-01
GAB3,1.07e-04,8.24e-01
ZNF395,9.18e-05,7.21e-01
TSPAN14,8.88e-05,6.40e-01
SSPN,1.14e-04,1.26
LRRC8B,1.12e-04,-1.20
CADM4,1.00e-04,-7.71e-01
AHI1,9.96e-05,-8.64e-01
ITPRIPL2,1.23e-04,1.32
CCDC80,1.11e-04,1.12
CXCR7,1.22e-04,1.59
MRVI1,1.17e-04,1.21
TNFRSF11B,1.15e-04,1.20
MARCH3,9.55e-05,6.61e-01
TRIM41,1.05e-04,-8.17e-01
CLDN23,1.11e-04,8.95e-01
BMPR1A,1.00e-04,6.92e-01
RFTN1,1.35e-04,2.16
NTRK2,1.06e-04,9.00e-01
FGD6,1.02e-04,7.85e-01
FAM150B,1.27e-04,1.32
VAV1,1.16e-04,1.10
NEXN,1.19e-04,1.03
NR3C1,8.87e-05,5.14e-01
DERL2,9.81e-05,6.72e-01
ZNF682,9.11e-05,-5.51e-01
ALOX5AP,1.31e-04,1.48
DTX3,8.64e-05,-4.63e-01
AFMID,9.31e-05,-5.10e-01
CNTNAP3B,1.15e-04,7.64e-01
ATP13A3,1.12e-04,9.38e-01
MVD,1.17e-04,-1.00
PMS2L2,1.01e-04,-7.15e-01
HCST,1.27e-04,1.31
FAM46C,1.36e-04,1.66
CSGALNACT1,1.19e-04,9.22e-01
VASP,1.22e-04,1.15
KREMEN1,1.17e-04,1.02
HLA-J,1.29e-04,1.35
PCSK5,9.32e-05,5.19e-01
LOC374443,1.03e-04,6.86e-01
ARFGAP2,1.01e-04,-6.46e-01
OSBPL5,1.13e-04,-9.04e-01
ST5,1.18e-04,9.57e-01
TMEM184B,1.22e-04,-1.10
ZNF518B,1.13e-04,8.87e-01
DBF4B,1.31e-04,-1.20
ANXA11,1.28e-04,1.23
LAMA4,1.33e-04,1.08
FOXRED2,1.17e-04,-9.35e-01
PLA2G6,1.06e-04,-6.74e-01
RTBDN,1.38e-04,1.24
MYO15B,1.43e-04,-1.20
HIPK1,1.19e-04,9.10e-01
ERLEC1,1.04e-04,-6.35e-01
ACCN2,1.31e-04,-1.16
IDH1,1.11e-04,7.46e-01
NECAP2,1.29e-04,9.62e-01
CXCR4,1.54e-04,2.69
WSB1,1.35e-04,-1.07
KCTD12,1.51e-04,1.48
RPL23AP53,1.07e-04,6.37e-01
SOS1,1.29e-04,7.93e-01
CALR,1.20e-04,8.48e-01
CXCL16,1.50e-04,1.34
SLC30A5,9.96e-05,5.30e-01
CTNND2,1.43e-04,1.14
ZNF641,1.14e-04,6.23e-01
NMD3,9.85e-05,4.93e-01
ARHGEF2,1.11e-04,-5.82e-01
TNFAIP8L2,1.41e-04,1.01
TGFBR2,1.46e-04,1.46
VCL,1.39e-04,1.21
C1orf159,1.20e-04,-7.17e-01
HLA-DPB2,1.55e-04,1.49
PLXNB3,1.46e-04,-1.01
ZNF330,1.05e-04,5.42e-01
MYNN,1.24e-04,6.33e-01
GATS,1.27e-04,-8.14e-01
CTSH,1.59e-04,1.27
AFF1,1.37e-04,6.76e-01
C17orf28,1.42e-04,-1.06
CSDA,1.61e-04,1.80
CHP2,1.46e-04,-1.10
UST,1.26e-04,8.47e-01
NDUFA10,1.12e-04,-5.67e-01
HDAC11,1.36e-04,-8.88e-01
LRIG1,1.35e-04,9.91e-01
BCKDHA,1.13e-04,-5.96e-01
C2,1.37e-04,9.86e-01
EEF1A1,1.25e-04,7.72e-01
CUL3,1.10e-04,5.47e-01
TPD52L1,1.48e-04,1.22
EPS8,1.45e-04,9.80e-01
FCGR2C,1.74e-04,1.98
LINC00338,1.26e-04,-7.67e-01
TMEM175,1.40e-04,-9.00e-01
TAX1BP1,1.09e-04,5.05e-01
FNBP1,1.45e-04,-9.53e-01
C1orf122,1.36e-04,-9.12e-01
LHFPL2,1.70e-04,1.36
NPB,1.34e-04,-8.32e-01
ATG4D,1.11e-04,-5.00e-01
CALCRL,1.26e-04,6.82e-01
MARCKS,1.40e-04,8.97e-01
CDH2,1.41e-04,7.88e-01
PLAU,1.47e-04,7.91e-01
FAM161A,1.32e-04,-7.79e-01
LOC283861,1.52e-04,-1.05
GDAP2,1.38e-04,6.69e-01
C10orf116,1.63e-04,1.36
ANP32E,1.46e-04,9.80e-01
GPKOW,1.22e-04,-5.88e-01
CSTA,1.35e-04,7.83e-01
HEPACAM,1.53e-04,-8.56e-01
MGAT2,1.28e-04,6.94e-01
RPS15A,1.35e-04,6.84e-01
ZMPSTE24,1.13e-04,4.68e-01
ADAMTS4,1.72e-04,-1.41
GLI4,1.23e-04,-5.83e-01
LGALS9,1.39e-04,7.40e-01
LOC648771,1.19e-04,5.38e-01
IL10RA,1.84e-04,1.83
MICB,1.37e-04,7.68e-01
LOC390940,1.37e-04,7.40e-01
ABLIM1,1.48e-04,9.39e-01
THUMPD2,1.32e-04,6.48e-01
RORA,1.67e-04,7.53e-01
LOC148413,1.33e-04,-6.20e-01
RPL23P8,1.22e-04,5.09e-01
TXNDC5,1.72e-04,1.01
CELSR1,1.53e-04,8.03e-01
PPP1R3C,1.76e-04,1.32
HMGB3,1.49e-04,7.57e-01
RPS6KB2,1.64e-04,-9.52e-01
AHNAK,1.74e-04,1.31
TLR4,1.57e-04,9.65e-01
EGF,1.39e-04,5.82e-01
THG1L,1.31e-04,5.75e-01
C21orf62,2.03e-04,1.64
PEX16,1.30e-04,-5.28e-01
LY86,1.99e-04,1.46
C2CD4D,1.27e-04,-4.98e-01
RSL1D1,1.64e-04,8.01e-01
AATK,1.57e-04,-9.18e-01
AHR,1.60e-04,8.52e-01
RNF19A,1.69e-04,1.01
STK17B,1.95e-04,9.68e-01
AKIRIN2-AS1,1.31e-04,5.12e-01
ASPH,1.56e-04,7.81e-01
RAB11FIP1,1.44e-04,6.10e-01
DCLK1,1.99e-04,1.20
WWTR1,1.81e-04,1.01
TBC1D1,1.52e-04,7.72e-01
EIF2A,1.52e-04,7.06e-01
NINJ1,2.03e-04,1.35
PFKL,1.63e-04,-7.18e-01
ALOX15B,2.15e-04,1.75
LSP1,2.06e-04,1.98
RNF220,1.94e-04,-1.05
PPP2R2C,1.80e-04,-1.14
SULT1C2,2.04e-04,1.07
GCC2,1.64e-04,7.24e-01
TRMT2A,1.54e-04,-7.49e-01
TNFSF9,1.43e-04,-6.06e-01
ABCB7,1.77e-04,8.00e-01
ABCA2,1.98e-04,-1.40
C21orf2,1.61e-04,-8.16e-01
C21orf62,2.06e-04,1.35
ADCY8,1.42e-04,4.96e-01
RFX3,1.40e-04,5.33e-01
DOK3,1.72e-04,9.40e-01
ZC3H18,1.39e-04,-5.36e-01
ZFPM1,1.46e-04,-6.25e-01
TAF11,1.70e-04,-9.35e-01
RNASE4,1.90e-04,1.11
NRBP2,1.92e-04,-1.03
ZEB1,1.89e-04,1.17
GMFG,2.04e-04,1.09
SSFA2,2.07e-04,1.27
RPL18,1.52e-04,6.03e-01
CARD6,1.97e-04,1.06
FNDC3A,1.65e-04,7.58e-01
GPC2,1.51e-04,-5.78e-01
ZNF295-AS1,1.57e-04,6.29e-01
ZNF562,1.38e-04,4.87e-01
C12orf47,1.53e-04,-6.33e-01
SUGP2,1.81e-04,-9.89e-01
HIST2H2AC,2.30e-04,1.41
DENND1B,1.53e-04,6.20e-01
GNG10,1.85e-04,8.30e-01
KCNK7,1.45e-04,-4.79e-01
LOC158402,2.06e-04,9.87e-01
FAF2,1.51e-04,5.67e-01
FAHD2A,1.66e-04,-6.61e-01
FCGR2A,2.42e-04,2.22
C21orf2,1.74e-04,-8.24e-01
GIMAP7,1.98e-04,7.39e-01
CD99,2.12e-04,1.41
MYO18A,1.67e-04,-6.45e-01
LRRC8B,2.08e-04,-1.19
ENKUR,2.14e-04,1.19
RNF126,1.78e-04,-8.14e-01
LRCH1,1.55e-04,5.76e-01
PLEK2,1.73e-04,6.91e-01
GABRG1,2.03e-04,1.15
ZCCHC14,1.55e-04,5.56e-01
GAS7,1.86e-04,-8.48e-01
PECAM1,2.01e-04,9.19e-01
NLK,2.14e-04,-1.04
PLOD2,2.04e-04,1.14
PLEKHA1,1.95e-04,-9.06e-01
CSGALNACT2,1.94e-04,8.37e-01
C17orf70,1.89e-04,-8.54e-01
AFMID,2.08e-04,-1.02
ANTXR2,2.19e-04,1.32
MTHFD1L,1.56e-04,4.83e-01
EIF4H,1.52e-04,-4.62e-01
IL13RA1,2.35e-04,1.45
RAB42,2.54e-04,1.63
NMI,1.91e-04,8.69e-01
CEBPZ,1.61e-04,5.49e-01
SPIRE1,1.51e-04,4.37e-01
COQ4,1.82e-04,-7.52e-01
TNRC6A,2.10e-04,8.25e-01
ENY2,1.61e-04,5.41e-01
CNOT4,1.42e-04,3.60e-01
C1orf85,1.62e-04,4.21e-01
NLGN3,1.72e-04,-6.35e-01
TMEM53,1.75e-04,-5.80e-01
KIF1B,1.93e-04,7.43e-01
CASP7,2.21e-04,1.21
RAB1A,1.67e-04,5.21e-01
KALRN,1.86e-04,7.69e-01
PICK1,2.27e-04,-1.28
SMAD3,1.90e-04,8.13e-01
PRR7,2.36e-04,-1.36
NDRG2,2.07e-04,-1.00
MNDA,2.14e-04,9.22e-01
CNOT4,1.92e-04,6.54e-01
CUTA,1.63e-04,-5.28e-01
PALM3,2.36e-04,1.33
PLAU,2.71e-04,1.79
FTL,2.71e-04,1.66
ELMOD2,1.84e-04,7.11e-01
ESF1,2.11e-04,8.10e-01
RNASET2,2.33e-04,1.29
AQR,1.70e-04,5.00e-01
IGFBP7,2.45e-04,1.51
RPS24,1.60e-04,4.78e-01
RBP1,2.21e-04,-1.03
THOC4,1.64e-04,-4.90e-01
TPM1,1.98e-04,8.01e-01
FCGR2B,2.81e-04,1.95
SNHG12,2.35e-04,1.21
TIMP1,2.62e-04,1.87
SRGAP1,2.20e-04,9.48e-01
FAAH,2.19e-04,-9.85e-01
SPDYE2,1.92e-04,-7.07e-01
CDCP1,1.98e-04,5.54e-01
SNCAIP,2.22e-04,8.84e-01
ST3GAL4,2.50e-04,-1.36
MASP1,2.86e-04,1.67
LOC100289341,2.11e-04,-7.60e-01
POLL,1.61e-04,-4.03e-01
TPM3,2.04e-04,-7.27e-01
GJC2,2.63e-04,-1.43
GREB1L,2.31e-04,-8.63e-01
LOC399744,2.29e-04,-1.04
DOCK11,2.17e-04,8.99e-01
SLC12A9,2.37e-04,-1.01
JAK2,1.81e-04,4.97e-01
ACAP3,2.33e-04,-1.01
ASPSCR1,2.12e-04,-8.14e-01
HGS,1.95e-04,-6.49e-01
TMEM235,2.72e-04,-1.63
COL9A2,2.49e-04,-9.31e-01
FBF1,1.86e-04,-5.48e-01
FAM172A,1.85e-04,5.61e-01
OPHN1,2.01e-04,6.95e-01
FAM131B,2.17e-04,-8.54e-01
TMX1,2.11e-04,7.83e-01
PUF60,1.92e-04,-5.91e-01
LOC100652758,2.18e-04,-8.12e-01
DDX3X,2.11e-04,6.69e-01
BRF1,2.04e-04,-7.05e-01
TEAD1,2.13e-04,7.21e-01
SORBS1,3.05e-04,1.77
CHST15,2.45e-04,1.11
HLA-DPB1,2.93e-04,1.86
PLEKHA2,2.54e-04,1.11
ZEB1,3.06e-04,1.49
PLEKHA5,2.20e-04,8.24e-01
STON2,3.00e-04,1.36
ZNF428,2.43e-04,-1.06
PRDM5,2.38e-04,7.11e-01
RCC1,2.20e-04,8.03e-01
RNPEP,1.93e-04,5.68e-01
THSD1,2.60e-04,-9.30e-01
RRAS,2.22e-04,8.13e-01
ST8SIA1,2.58e-04,1.19
RPS20,2.10e-04,6.72e-01
EMILIN1,2.45e-04,1.01
C16orf95,2.28e-04,-8.39e-01
CD58,2.26e-04,7.09e-01
NOTCH2,2.36e-04,8.75e-01
BTN3A1,2.39e-04,7.66e-01
VPS45,2.26e-04,7.30e-01
NDUFV1,1.96e-04,-5.50e-01
JAM2,2.45e-04,9.87e-01
FAM108A1,2.45e-04,-9.75e-01
AR,2.37e-04,8.82e-01
NONO,1.88e-04,4.60e-01
MR1,2.36e-04,7.31e-01
SIAH1,2.00e-04,5.18e-01
KIAA0319L,2.28e-04,-8.01e-01
HSD11B1,3.24e-04,-1.33
HEXB,2.63e-04,1.16
DCAF12,1.90e-04,4.14e-01
TBC1D10B,2.11e-04,-5.98e-01
FARP1,2.37e-04,8.37e-01
UPF2,2.15e-04,6.26e-01
CAMK2N1,2.65e-04,-1.15
FAM70A,2.79e-04,1.09
TRIM68,1.96e-04,-4.71e-01
LOC100131829,2.27e-04,7.66e-01
RHOQ,2.64e-04,1.04
SYMPK,2.50e-04,-9.32e-01
ADAMTS13,2.49e-04,-9.20e-01
BCL2A1,3.13e-04,1.83
ADCY7,2.97e-04,1.12
PRDM8,2.94e-04,-1.42
KCNQ1,2.83e-04,1.13
STXBP4,2.62e-04,8.03e-01
LINC00265,2.50e-04,-8.87e-01
FLJ35390,2.07e-04,-5.36e-01
TBC1D4,2.33e-04,7.05e-01
APP,2.57e-04,-9.30e-01
NEU4,2.25e-04,-6.58e-01
SELO,2.36e-04,-7.78e-01
GPSM1,2.75e-04,-1.10
AP1S2,2.67e-04,9.39e-01
LLGL2,2.47e-04,-8.07e-01
DDX51,2.16e-04,-5.99e-01
WLS,2.88e-04,1.11
MYOF,2.88e-04,1.24
C16orf7,2.30e-04,-7.01e-01
MLF1,2.19e-04,5.96e-01
SMARCB1,2.10e-04,-5.24e-01
SYS1,2.25e-04,5.84e-01
C20orf141,3.33e-04,1.47
SCAF1,2.56e-04,-8.54e-01
NCKIPSD,2.32e-04,-6.79e-01
SNX13,2.64e-04,9.35e-01
BMF,3.15e-04,1.13
PNRC1,2.75e-04,9.43e-01
RPS17,2.21e-04,5.76e-01
CCND2,2.81e-04,1.05
PBX2,2.42e-04,-6.40e-01
TLR1,2.71e-04,8.95e-01
CELSR2,2.41e-04,-7.17e-01
E2F1,2.31e-04,-5.83e-01
LAMA4,2.84e-04,1.05
FGR,3.59e-04,1.82
C18orf56,3.70e-04,-2.35
BTBD17,2.83e-04,-1.01
CYTH4,2.92e-04,1.02
MAP3K11,3.00e-04,-9.24e-01
P2RY6,2.67e-04,7.06e-01
WWP2,2.20e-04,-5.34e-01
SCGB1D1,2.90e-04,9.74e-01
DDX6,2.54e-04,7.32e-01
FRMD6,2.61e-04,8.22e-01
CAB39L,2.92e-04,9.68e-01
RPS19,2.56e-04,7.77e-01
DCP1B,2.14e-04,4.57e-01
CNDP1,3.69e-04,-2.09
CASP4,3.60e-04,1.54
MIRLET7BHG,2.40e-04,-6.54e-01
TTC9C,2.73e-04,-8.75e-01
LNPEP,2.36e-04,5.27e-01
TMSB4X,2.63e-04,7.85e-01
SCGB1D2,2.83e-04,8.75e-01
RPS7,2.42e-04,5.76e-01
MAN2A2,3.22e-04,-1.15
C7orf54,3.21e-04,1.05
LOC728875,2.77e-04,8.79e-01
LOC100128946,2.52e-04,-6.76e-01
FAM114A2,2.12e-04,3.94e-01
MS4A14,3.15e-04,8.81e-01
BACH1,2.81e-04,7.43e-01
GALM,2.42e-04,5.82e-01
APOL6,3.08e-04,1.11
RPL13AP3,2.32e-04,5.32e-01
MTCH1,2.78e-04,-8.43e-01
DNAJB2,3.22e-04,-1.12
SOX6,3.81e-04,1.29
EZH1,2.59e-04,-6.78e-01
NTM,2.79e-04,-7.40e-01
ZDHHC13,2.67e-04,6.27e-01
STK40,3.08e-04,1.06
KLF12,2.41e-04,5.69e-01
MYO1D,2.99e-04,-8.52e-01
ZNF414,2.36e-04,-5.08e-01
CAPN5,3.18e-04,1.14
BST2,3.29e-04,1.24
RPL36A,2.77e-04,6.57e-01
SAA1,3.97e-04,7.61e-01
EBF4,2.43e-04,-5.40e-01
SLC2A9,3.26e-04,8.66e-01
FGF20,3.97e-04,1.42
TGFBR2,3.70e-04,1.13
POLR1C,2.99e-04,7.28e-01
FAAH,3.27e-04,-1.07
ARHGAP12,2.99e-04,9.21e-01
PDE4DIP,3.53e-04,1.11
KCNE3,3.68e-04,1.12
PPDPF,3.09e-04,-8.81e-01
RIMKLB,2.62e-04,6.10e-01
MERTK,4.17e-04,1.67
TMEM107,2.88e-04,7.72e-01
C1orf35,2.61e-04,-5.89e-01
ABI3BP,3.05e-04,7.37e-01
PELI2,2.62e-04,6.18e-01
GDAP2,2.48e-04,4.62e-01
CHRM4,4.08e-04,1.66
CCL18,4.33e-04,2.03
FXR2,3.43e-04,-1.01
GYG1,2.83e-04,6.93e-01
MYD88,2.96e-04,7.87e-01
S100A16,2.98e-04,8.17e-01
NRCAM,3.16e-04,9.17e-01
RPS6KL1,2.29e-04,-3.30e-01
SPTLC3,2.76e-04,6.25e-01
DOLPP1,2.93e-04,-6.52e-01
GPSM3,2.96e-04,7.17e-01
ZNF436,3.52e-04,8.77e-01
CBR1,3.85e-04,-1.42
HERC5,3.13e-04,7.66e-01
GYG1,2.94e-04,7.54e-01
UTRN,3.77e-04,1.11
TFEC,3.91e-04,1.08
IZUMO4,2.70e-04,-6.11e-01
MAPKBP1,3.13e-04,-8.73e-01
C1orf159,2.80e-04,-5.83e-01
GCK,3.06e-04,7.98e-01
AKT2,3.26e-04,-8.92e-01
TLR2,4.02e-04,1.65
CASP8,2.51e-04,4.52e-01
ZNF668,2.54e-04,-4.93e-01
SEMA3B,4.44e-04,-1.55
RAB13,3.81e-04,1.34
CABYR,3.65e-04,-1.11
NFE2L1,3.41e-04,9.02e-01
MPP2,3.15e-04,-7.11e-01
ADAM11,3.11e-04,-7.40e-01
TBC1D17,3.18e-04,-8.32e-01
TBCK,3.22e-04,5.56e-01
IGSF1,2.99e-04,-6.87e-01
SBF2,3.04e-04,6.24e-01
AQP4,4.14e-04,1.18
VAX1,3.12e-04,-6.74e-01
MS4A7,4.71e-04,2.38
C1QC,4.71e-04,1.97
LOC730020,3.73e-04,8.58e-01
PDLIM3,4.01e-04,1.41
ZNF418,3.20e-04,-7.08e-01
RPL13A,2.77e-04,5.43e-01
METTL14,3.07e-04,5.96e-01
DDRGK1,2.83e-04,-5.46e-01
IL18,3.45e-04,8.65e-01
COL4A3BP,2.89e-04,5.91e-01
DGKZ,2.98e-04,-6.43e-01
HR,3.33e-04,-8.45e-01
LOC100130285,3.04e-04,-5.86e-01
DCAF6,3.29e-04,6.60e-01
NEBL,3.16e-04,7.29e-01
TRIM47,3.25e-04,7.48e-01
C10orf105,4.85e-04,1.98
C5orf25,3.40e-04,7.20e-01
GCC1,2.77e-04,4.67e-01
C16orf72,2.71e-04,4.63e-01
HLA-C,4.15e-04,1.37
PLEKHA4,4.50e-04,1.69
EIF4B,3.02e-04,5.35e-01
MTHFD1L,2.86e-04,5.14e-01
SH3BP2,3.01e-04,4.80e-01
RALGAPB,3.16e-04,5.85e-01
PRSS23,3.79e-04,1.04
ADPGK,3.28e-04,6.84e-01
DISP1,2.96e-04,5.25e-01
EPHB2,2.62e-04,-3.86e-01
FGFR1,3.30e-04,7.30e-01
SIGLEC7,3.01e-04,5.38e-01
MATN2,4.27e-04,1.18
CHIT1,4.99e-04,1.99
ZNF444,3.25e-04,-6.66e-01
ASAH1,4.12e-04,9.79e-01
ERBB3,4.34e-04,-1.21
CYP2U1,3.64e-04,8.92e-01
DHRSX,2.90e-04,4.68e-01
MLLT6,3.12e-04,-5.73e-01
C16orf58,3.09e-04,-5.82e-01
FAM103A1,3.48e-04,7.28e-01
AEBP1,4.79e-04,1.87
TMEM194A,3.01e-04,5.33e-01
MRAS,3.98e-04,9.02e-01
ADCY5,3.67e-04,-6.53e-01
PDLIM5,3.46e-04,7.20e-01
PYCR2,3.67e-04,-7.96e-01
KIF5C,3.24e-04,-5.76e-01
ZNF334,3.37e-04,6.44e-01
ASCC3,3.27e-04,6.02e-01
FAM195B,3.30e-04,-6.03e-01
GNA13,4.28e-04,1.05
CIRBP,4.85e-04,-1.55
HLA-DOA,5.10e-04,1.73
MGST1,4.86e-04,1.77
MRPL19,2.85e-04,4.06e-01
CKLF,3.75e-04,7.03e-01
DMPK,3.88e-04,-8.94e-01
ZNF789,3.47e-04,-6.96e-01
CD22,4.18e-04,-1.02
TMEM133,3.75e-04,7.22e-01
RAB11FIP1,3.24e-04,5.72e-01
SPTLC3,4.02e-04,7.75e-01
CMTM3,5.38e-04,1.77
RPS15A,3.73e-04,6.73e-01
RNF135,4.34e-04,9.47e-01
HLA-A,4.65e-04,1.35
ASB1,3.40e-04,-6.07e-01
RGS19,4.11e-04,1.02
GK,3.66e-04,6.87e-01
PPP2R3B-AS1,4.18e-04,-9.78e-01
KCNJ10,4.34e-04,-1.09
DDX60L,4.57e-04,9.48e-01
ADPGK,3.84e-04,6.17e-01
OBFC2A,4.06e-04,9.70e-01
EBAG9,3.73e-04,6.44e-01
KIAA1244,4.49e-04,-1.22
DHRSX,3.80e-04,8.20e-01
C21orf56,3.42e-04,-5.79e-01
DPEP2,5.37e-04,1.30
HLA-DQB1,5.17e-04,1.79
SEC11A,3.68e-04,7.10e-01
MAU2,4.01e-04,-8.51e-01
FAHD2A,3.90e-04,-6.91e-01
GNG5,4.22e-04,9.92e-01
LOC100132495,3.71e-04,5.90e-01
PRRC1,3.42e-04,4.95e-01
RASSF3,3.27e-04,4.07e-01
CASKIN2,3.56e-04,-5.78e-01
RNASET2,5.11e-04,1.28
LHPP,5.32e-04,-1.23
MTMR11,3.85e-04,6.21e-01
FAM174B,3.98e-04,-6.04e-01
FASTK,4.18e-04,-8.75e-01
ELF1,4.33e-04,8.37e-01
FAM181A,4.77e-04,1.06
TSC2,3.95e-04,-7.41e-01
UBQLNL,4.13e-04,6.28e-01
WDFY4,4.71e-04,9.88e-01
COL9A3,5.91e-04,-1.58
SLC37A2,3.87e-04,4.79e-01
NAA50,3.58e-04,5.55e-01
COQ2,3.37e-04,4.57e-01
MLF1,4.14e-04,8.32e-01
PEX11G,3.62e-04,-5.66e-01
BTK,4.49e-04,9.10e-01
NMRAL1,3.89e-04,-5.78e-01
RAB31,4.34e-04,9.25e-01
PRKAG2,5.08e-04,1.32
RHOJ,4.27e-04,7.27e-01
PPM1M,3.73e-04,5.49e-01
POMGNT1,4.19e-04,-7.43e-01
VSX1,3.73e-04,-5.92e-01
CFI,5.83e-04,2.13
HIPK3,4.22e-04,7.22e-01
GTF3A,3.42e-04,4.55e-01
CLASRP,5.18e-04,-1.19
PLD6,4.04e-04,-6.87e-01
KIAA0415,3.83e-04,-5.80e-01
NEK11,4.74e-04,8.76e-01
SOAT1,5.69e-04,1.15
ABCB9,3.52e-04,-4.97e-01
ARHGAP23,5.42e-04,-1.11
LPAR6,5.21e-04,1.02
ZNF512B,4.38e-04,-7.04e-01
BMPR1A,3.80e-04,5.56e-01
MIOS,3.82e-04,5.49e-01
S1PR1,5.13e-04,9.38e-01
EHBP1,4.70e-04,8.49e-01
OPLAH,5.21e-04,-1.18
ARL6IP4,4.44e-04,-7.87e-01
RABGEF1,4.09e-04,-6.33e-01
ARHGEF5,4.30e-04,7.38e-01
MPRIP,3.37e-04,-3.88e-01
SFXN3,3.81e-04,-5.65e-01
CWC22,4.61e-04,7.41e-01
PCGF5,3.90e-04,5.65e-01
PSIP1,3.56e-04,4.49e-01
EMP1,6.26e-04,2.29
GPATCH3,3.83e-04,-5.11e-01
H2AFY,4.57e-04,5.56e-01
TBL1X,4.08e-04,5.72e-01
FA2H,6.33e-04,-1.87
BATF2,4.16e-04,6.57e-01
KDELC2,4.19e-04,5.28e-01
ZNF513,3.60e-04,-4.29e-01
RPL34,4.08e-04,5.70e-01
AKR1B1,4.99e-04,7.54e-01
PMF1,4.52e-04,-7.02e-01
CLCN4,4.57e-04,-8.07e-01
DNAJC6,5.56e-04,-1.25
LILRA3,4.28e-04,4.60e-01
DCP1A,4.03e-04,5.48e-01
CRAT,4.62e-04,-6.10e-01
PLA2G15,5.82e-04,1.09
IL6ST,4.40e-04,7.15e-01
C1orf133,5.19e-04,-8.98e-01
PRKCA,4.67e-04,7.37e-01
B2M,5.97e-04,1.47
HEPN1,4.18e-04,-6.08e-01
ROCK1,4.29e-04,6.30e-01
FGF2,4.58e-04,5.67e-01
IL1RAP,5.84e-04,1.13
NCKAP1L,4.38e-04,6.47e-01
GPAA1,4.45e-04,-6.83e-01
SMAD5,3.95e-04,4.68e-01
UNC93B1,5.39e-04,8.70e-01
TOPORS,4.51e-04,5.96e-01
MR1,5.24e-04,8.17e-01
PNPT1,4.96e-04,-7.37e-01
ZIC5,5.71e-04,7.20e-01
PPP1R12C,4.98e-04,-8.26e-01
CSNK2B,3.78e-04,4.08e-01
CD99L2,4.66e-04,-7.36e-01
SH2B3,4.11e-04,5.12e-01
PTPRF,4.86e-04,-7.52e-01
BECN1,4.49e-04,5.85e-01
PCCB,4.83e-04,-7.13e-01
SPAG1,4.16e-04,4.86e-01
CKB,5.63e-04,-1.00
SNX22,4.80e-04,-6.29e-01
NLRP3,5.09e-04,6.67e-01
MRPL4,5.66e-04,-7.55e-01
CASP6,4.29e-04,5.57e-01
TAC1,7.59e-04,-1.19
RHOBTB3,4.89e-04,7.59e-01
SNHG11,4.17e-04,-5.18e-01
SERPING1,6.77e-04,1.89
PSMB3,4.19e-04,4.97e-01
SMN1,4.95e-04,7.48e-01
FAM7A1,5.15e-04,6.78e-01
CSNK2B,3.75e-04,3.75e-01
SAT1,6.49e-04,1.49
GPR107,4.24e-04,-4.89e-01
PTPLAD2,5.52e-04,8.18e-01
SLC25A44,4.34e-04,-5.60e-01
RPL13A,5.20e-04,7.11e-01
LOC389033,5.42e-04,-8.60e-01
WDR49,4.99e-04,6.67e-01
E2F3,5.18e-04,8.07e-01
SFTPC,6.20e-04,-1.11
LILRB1,6.06e-04,1.16
NDRG1,6.47e-04,-1.28
BTK,5.08e-04,7.03e-01
